iterationNum,error,c_params
39,6.265469361004864e-05,1.0546942903587198 0.9831445465842858 1.0439000355757189 0.979433583541792 0.9939950628733087 0.9683844288199462 0.9880114130571638 1.0 1.0 1.0549717469491922 0.9829321239928566 1.0437937835514097 0.9793723033851992 0.9940919349998676 0.9684288384757593 0.9878924224455585 1.0 1.0
40,6.036325763712159e-05,1.0545645699455772 0.9833385254566923 1.0440276834092395 0.9792413382341231 0.9939315804241515 0.9684494742527259 0.9880129481854454 1.0 1.0 1.0548421363369223 0.9831259548291778 1.0439213497056326 0.9791801707718476 0.994028573388984 0.9684939816419955 0.9878938699674608 1.0 1.0
41,5.817542410858898e-05,1.054437844621158 0.9835281227553492 1.0441521980900828 0.9790534320212042 0.9938695145802446 0.9685129232957922 0.9880143410588097 1.0 1.0 1.0547151865846156 0.9833151337745156 1.0440458887380943 0.9789923118469981 0.9939667041644614 0.9685575081484842 0.987895234894879 1.0 1.0
42,5.608522823750956e-05,1.0543139330695315 0.9837133393568919 1.0442739921003334 0.9788696322261399 0.9938088954214299 0.9685748502802651 0.9880158422008508 1.0 1.0 1.0545912280321592 0.9835001743378224 1.0441677064460673 0.9788086705862702 0.9939061777597257 0.968619412564516 0.9878967556805454 1.0 1.0
43,5.4089106298123044e-05,1.0541929263611376 0.9838943241945455 1.0443929707803383 0.9786899746292531 0.9937497122437474 0.9686352825641089 0.98801734114833 1.0 1.0 1.0544701404997971 0.9836810045706823 1.04428666759342 0.9786291374228067 0.9938471147949585 0.9686798958812627 0.9878982223909539 1.0 1.0
44,5.218205134754147e-05,1.054074629146842 0.984071277975081 1.0445093447295757 0.9785144324608326 0.9936918440104037 0.9686942875187382 0.9880188620126296 1.0 1.0 1.0543519315385363 0.9838577099845693 1.0444030839504304 0.9784536329037895 0.9937893831751108 0.9687389145349787 0.9878998286439232 1.0 1.0
45,5.0359685267679146e-05,1.0539590616290109 0.9842441816359644 1.044622960649233 0.9783426544625552 0.9936353228033352 0.9687518966654334 0.9880202841967958 1.0 1.0 1.0542362898525912 0.9840304549793887 1.0445168184407276 0.9782819347091087 0.9937329631959694 0.9687964851699385 0.9879012742067629 1.0 1.0
46,4.861812483754887e-05,1.0538460736129964 0.9844131915049257 1.044734092941671 0.9781746291524545 0.9935800873472722 0.9688081181306302 0.98802168560901 1.0 1.0 1.0541232933489708 0.9841992398149771 1.0446281163647457 0.9781141362405106 0.9936778087636926 0.9688527237981055 0.9879027770834067 1.0 1.0
47,4.695338695742817e-05,1.0537355827085415 0.9845783884064331 1.0448427837328955 0.9780104163890846 0.9935260807354545 0.968863017279914 0.9880231106863124 1.0 1.0 1.0540127877555752 0.9843643194080282 1.044736681183698 0.9779498690718039 0.9936238824061088 0.9689077101489045 0.9879041683355372 1.0 1.0
48,4.536220850167946e-05,1.053627608998029 0.9847398619388921 1.0449490330471003 0.9778497655978315 0.9934733284136936 0.9689166286201127 0.9880244505036113 1.0 1.0 1.0539048953590766 0.9845257038465959 1.0448429881008403 0.977789282330316 0.9935712544440953 0.9689613486004858 0.9879055959092683 1.0 1.0
