iterationNum,error,c_params
22,0.0021808650479248357,1.053244487937086 0.9747539268792982 1.0352547744106428 0.987443669340989 0.9927435666865735 0.9694560749790256 0.9981605971513098 1.0 1.0 1.0532465869103949 0.9747510033351637 1.0352633932705422 0.9874433217229671 0.9927399641928866 0.969455669578836 0.9981589995897894 1.0 1.0
23,0.0021755147749335964,1.053483374901801 0.9744998157417781 1.0350905449761578 0.9877484377619529 0.9928932475131018 0.9693575638122952 0.9981711931955709 1.0 1.0 1.0534861132050515 0.9744967619202173 1.035099430272109 0.9877484387061934 0.992889399850164 0.9693574218453109 0.9981700492715188 1.0 1.0
24,0.0021706493055160684,1.0537086708899606 0.9742549944755485 1.0349308888849094 0.9880378797996058 0.9930341519830231 0.9692619359990777 0.9981817171089146 1.0 1.0 1.0537117428920169 0.9742520162908969 1.034939059651476 0.9880372509592599 0.993030556269197 0.9692617477257485 0.9981805605336361 1.0 1.0
25,0.0021662273921469817,1.0539208088223373 0.9740194536263183 1.034775174633234 0.98831172983284 0.9931672160175236 0.969168472176476 0.9981909640818329 1.0 1.0 1.0539238281803793 0.9740165275664626 1.034783552173879 0.9883112176007666 0.9931633343698686 0.9691682307693047 0.9981907936000338 1.0 1.0
26,0.0021622007085958907,1.0541225349127703 0.9737932931639732 1.0346254266806172 0.9885721737099886 0.9932921327175491 0.9690770075239504 0.9982006462753882 1.0 1.0 1.0541253180670458 0.9737899721122399 1.0346332797111828 0.9885711621683366 0.9932887726394275 0.9690771335523847 0.9982000257500172 1.0 1.0
27,0.0021585378726747878,1.0543125550626113 0.9735755276402194 1.0344801801169383 0.9888195732754486 0.9934108004995268 0.9689886997570182 0.9982084602420361 1.0 1.0 1.0543154595453161 0.9735729359116676 1.0344874391673597 0.988817648916406 0.993407203916761 0.9689884985875833 0.9982078346933864 1.0 1.0
28,0.002155201541996347,1.0544932575447097 0.9733664218189564 1.0343406335992413 0.9890540455398308 0.99352246490846 0.9689027728912634 0.9982163994949761 1.0 1.0 1.054496568876923 0.9733635123468013 1.034347912522845 0.989052422786041 0.9935185569131907 0.9689021491073551 0.9982158566479241 1.0 1.0
29,0.0021521699017140903,1.05466292561167 0.973165649250761 1.0342048234287224 0.9892762864313563 0.9936276533107397 0.9688191816800634 0.9982229050517687 1.0 1.0 1.0546668259318588 0.9731625798592765 1.034211368999275 0.9892738824335789 0.9936237311358549 0.9688184942756344 0.9982216936993789 1.0 1.0
30,0.0021494113002135293,1.0548232915185745 0.9729723180303453 1.0340741392689283 0.9894871913942475 0.9937266637488806 0.9687380850483244 0.9982282793806698 1.0 1.0 1.0548277028972186 0.9729696085684568 1.0340804036355473 0.9894844867386641 0.9937227031261072 0.9687373269197531 0.9982272558357286 1.0 1.0
31,0.0021468959689468965,1.054976140897151 0.9727866600171996 1.0339480783748858 0.98968728661432 0.9938200485479042 0.9686593813789268 0.9982329547858175 1.0 1.0 1.0549808408415096 0.9727842986587665 1.0339542869433196 0.9896851790840396 0.9938162064196302 0.9686587334938397 0.9982325185315402 1.0 1.0
32,0.002144607344514141,1.055120252373042 0.972608269989506 1.0338257132878235 0.9898766844234209 0.9939081636170384 0.9685831140376967 0.9982361842443845 1.0 1.0 1.0551250221082986 0.9726060927303883 1.033832056788528 0.9898751962694577 0.9939046622403583 0.9685826419200299 0.9982360081493352 1.0 1.0
33,0.0021425219678221736,1.0552571976032001 0.972437129281623 1.033708859432696 0.9900579852394358 0.9939915053527655 0.9685095187797234 0.9982404741657399 1.0 1.0 1.0552621654235201 0.9724354678866524 1.0337145905779388 0.9900556785849826 0.9939878867518344 0.9685090469049514 0.9982400828030693 1.0 1.0
