iterationNum,error,c_params
10,0.0025791854969343256,-0.05297281183925298 0.9402534853618184 0.05836504405404277 1.0066608450508192 0.5585476061902781 1.3469184363281583 0.9693668913906756 1.069 1.0237 0.9779176971987856 0.47795848121634893 0.5738286914964249 0.8661048061398114 1.152108163748541 -0.09590278745557293 1.3895645145451154 1.1471 1.0516
11,0.0024289658158986437,-0.051654022120247674 0.940276330677444 0.05700480169211644 1.0066872297007319 0.560793677110528 1.3459961559808027 0.9706489837746254 1.069 1.0237 0.9776612439540739 0.4780781622335988 0.5736678429178605 0.8661349671605632 1.1525889510479255 -0.09750796144378965 1.3884115633580851 1.1471 1.0516
12,0.0022918508300919355,-0.05041057344332754 0.9403025970342227 0.05571120474033869 1.0067154675814836 0.5629412859721933 1.345117884994072 0.9718863747015267 1.069 1.0237 0.9774170577679399 0.47819672473216657 0.5735083753025346 0.8661516589221984 1.1530389609790404 -0.09903986035774144 1.3872979677017638 1.1471 1.0516
13,0.0021665321299297034,-0.049235578163358704 0.9403393269122582 0.05448351468617567 1.0067536859709387 0.5650073263965794 1.3442778004142277 0.9730787749482647 1.069 1.0237 0.9771841629306393 0.47831551224339425 0.5733495347191185 0.8661565419549389 1.1534567381147887 -0.10048508628939397 1.386219601459388 1.1471 1.0516
14,0.002051723402595628,-0.04812721484709292 0.9403739621236531 0.053314791537153156 1.0067939121054579 0.5669898138327958 1.3434754001749332 0.9742296054158821 1.069 1.0237 0.9769604010600018 0.47843521655246063 0.5731907290860351 0.8661471029955261 1.1538449453157467 -0.1018657505461516 1.3851757111411336 1.1471 1.0516
15,0.0019464249401533963,-0.047080856045582924 0.940417915854646 0.05220201277394564 1.0068428259183653 0.5688997528421222 1.3427068929484172 0.975340543410748 1.069 1.0237 0.976746235487798 0.47855434514166595 0.5730324636176534 0.8661261491483699 1.1542034591704164 -0.10317278978805988 1.384164018462052 1.1471 1.0516
16,0.0018497291984290762,-0.04609192455571051 0.9404676042422481 0.0511422319936038 1.0068989253984215 0.5707336726380305 1.341972601290326 0.9764149307424863 1.069 1.0237 0.9765411678639111 0.47867452351427947 0.5728762834021027 0.8660904776569767 1.154541868869703 -0.10441768960018806 1.3831832997659217 1.1471 1.0516
17,0.0017608225153646706,-0.045158688851570726 0.940519441613143 0.0501346557803416 1.0069557014417003 0.5724994361021691 1.3412706689232825 0.9774525115784818 1.069 1.0237 0.9763448500809458 0.4787967518097043 0.5727205213781285 0.8660452633707806 1.154854557195496 -0.10560643995021451 1.3822344966328834 1.1471 1.0516
18,0.00167887215840819,-0.044276570897855604 0.940575249735575 0.04917548611021034 1.0070180831415976 0.5742013325368737 1.3405992502172166 0.9784608127966653 1.069 1.0237 0.9761560780422858 0.4789191719324349 0.5725644537921744 0.8659881652788873 1.1551442747940033 -0.10674095077267308 1.3813146718454488 1.1471 1.0516
19,0.0016033274654141034,-0.04344623137137691 0.9406333405234177 0.048256438692526 1.0070813430445238 0.5758408141385724 1.3399565324516156 0.9794337430659555 1.069 1.0237 0.9759744716117512 0.47904191483481723 0.5724088320497335 0.8659216607414425 1.155411245047421 -0.10782395462058046 1.3804229005443727 1.1471 1.0516
20,0.0015335890336267912,-0.04265947970266158 0.9406951575669288 0.047381626261641094 1.0071509672016528 0.5774205294487155 1.3393420147506625 0.9803762072623534 1.069 1.0237 0.975800458393632 0.479166463151307 0.5722537949740545 0.8658450365726374 1.1556572040780522 -0.10885927764996206 1.3795589518970974 1.1471 1.0516
21,0.001469088897518538,-0.04191548027932345 0.9407594661942017 0.04654852314151761 1.0072215119228998 0.57894355332634 1.338755326449114 0.9812916171528475 1.069 1.0237 0.9756325262436675 0.4792914600203168 0.5720989904137554 0.865759548554274 1.1558890988651467 -0.10985195032533128 1.3787206717509355 1.1471 1.0516
22,0.0014094011034964406,-0.041213017222318585 0.9408225589350443 0.04575130202967316 1.0072966018777618 0.5804142359553371 1.3381948270897188 0.9821758605380101 1.069 1.0237 0.9754706395743094 0.479415389954979 0.571944131058257 0.8656663876927552 1.1560997469275565 -0.11080225829282077 1.3779068488134167 1.1471 1.0516
23,0.0013540601626024719,-0.04054777433494309 0.9408913805280797 0.04499159853128262 1.0073725021248714 0.5818337323996582 1.3376597152142407 0.9830349685259187 1.069 1.0237 0.975314238728214 0.4795417095818882 0.5717897609997182 0.865565592353323 1.1562935471396665 -0.11171569294998063 1.3771169188407009 1.1471 1.0516
24,0.001302693330715645,-0.039916297582105215 0.9409598229866327 0.04426811086245773 1.0074512829075237 0.5832052020997828 1.3371490610072598 0.9838687749893474 1.069 1.0237 0.9751622103595184 0.4796663820009869 0.5716341305186383 0.8654581706073221 1.1564760160813528 -0.11259246467780404 1.3763490507716944 1.1471 1.0516
25,0.0012550019984510837,-0.0393218022634218 0.9410304801358141 0.04357778887461299 1.007532130142674 0.5845313928903885 1.3366616505604532 0.9846788757191018 1.069 1.0237 0.9750167875338522 0.47979380534482347 0.571478860517918 0.8653447107512047 1.1566386679295837 -0.11343417859799396 1.3756041491544384 1.1471 1.0516
26,0.0012106561405194971,-0.038760207518088424 0.9410995429056412 0.04291849519668661 1.007613965984096 0.5858131207231246 1.336197366348938 0.9854628644077341 1.069 1.0237 0.9748752484094325 0.4799204767875463 0.5713220801611509 0.8652250467486672 1.1567887851442618 -0.11424632675539258 1.3748796953348053 1.1471 1.0516
27,0.001169406069641204,-0.038229064521458994 0.9411717091966052 0.04229045972384579 1.007697226534226 0.5870536772306065 1.3357541172791643 0.986225321458763 1.069 1.0237 0.9747376983388263 0.4800481605343443 0.5711657014036401 0.8651000378077672 1.1569266597027552 -0.11502174873304863 1.3741753983142833 1.1471 1.0516
28,0.0011309407220745004,-0.03772626042198202 0.9412406254790192 0.0416882951672305 1.0077795610822107 0.5882514896099172 1.3353325856157316 0.9869650893782289 1.069 1.0237 0.9746045816930293 0.4801764391439263 0.571009168638654 0.8649702917756286 1.157051588058301 -0.11577633679511777 1.3734909560772957 1.1471 1.0516
