strain,stress
0.0447,212.53
0.0447,208.71
0.0447,211.28
0.0447,211.54
0.0447,211.62
0.0452,211.80
0.0465,211.92
0.0466,212.05
0.0475,211.45
0.0477,211.78
0.0478,213.65
0.0479,210.53
0.0479,214.17
0.0479,210.94
0.0479,213.99
0.0479,212.81
0.0479,212.92
0.0478,213.57
0.0479,214.92
0.0479,214.66
0.0479,212.42
0.0479,213.04
0.0479,213.49
0.0479,213.67
0.0479,212.49
0.0479,215.55
0.0480,212.83
0.0480,213.47
0.0479,214.23
0.0479,217.40
0.0479,215.30
0.0480,212.06
0.0479,215.55
0.0480,213.02
0.0479,216.66
0.0481,212.74
0.0499,216.40
0.0500,215.35
0.0500,216.34
0.0501,214.10
0.0501,217.61
0.0501,215.33
0.0501,215.85
0.0501,214.67
0.0501,215.70
0.0501,216.76
0.0501,217.11
0.0501,217.46
0.0501,217.40
0.0500,217.46
0.0501,217.99
0.0501,218.61
0.0501,217.74
0.0501,217.58
0.0502,217.52
0.0502,217.50
0.0503,217.77
0.0506,218.01
0.0506,219.02
0.0506,216.92
0.0506,218.58
0.0506,219.87
0.0506,218.42
0.0506,221.27
0.0506,218.69
0.0506,222.20
0.0507,219.81
0.0508,216.80
0.0522,220.19
0.0523,220.51
0.0533,220.34
0.0533,223.23
0.0534,220.84
0.0534,221.87
0.0534,218.24
0.0534,221.27
0.0534,222.17
0.0534,223.14
0.0534,220.80
0.0534,222.39
0.0534,220.64
0.0534,224.79
0.0534,220.98
0.0534,224.24
0.0534,220.80
0.0534,224.17
0.0535,221.11
0.0534,224.62
0.0534,223.69
0.0534,224.69
0.0534,225.55
0.0535,221.73
0.0534,225.32
0.0535,219.99
0.0534,223.36
0.0535,223.67
0.0535,223.20
0.0536,223.13
0.0540,224.29
0.0552,225.52
0.0553,224.57
0.0553,224.01
0.0553,223.87
0.0553,225.31
0.0553,227.84
0.0553,224.05
0.0553,224.28
0.0554,224.28
0.0553,227.51
0.0554,224.32
0.0554,227.63
0.0554,224.04
0.0554,227.33
0.0555,224.82
0.0554,228.26
0.0554,227.41
0.0558,222.81
0.0560,226.82
0.0561,228.31
0.0566,229.52
0.0567,225.59
0.0567,229.13
0.0568,229.11
0.0568,229.67
0.0568,227.07
0.0569,230.77
0.0569,226.54
0.0569,229.96
0.0570,229.52
0.0570,228.37
0.0569,228.73
0.0570,227.71
0.0569,227.13
0.0569,231.52
0.0569,230.86
0.0570,226.62
0.0570,226.59
0.0570,227.74
0.0569,231.08
0.0570,226.45
0.0570,230.04
0.0570,227.53
0.0570,228.53
0.0577,228.77
0.0578,228.93
0.0578,228.75
0.0578,229.50
0.0593,228.79
0.0600,233.26
0.0601,229.43
0.0600,233.61
0.0601,230.96
0.0601,231.68
0.0601,233.66
0.0601,232.10
0.0602,230.79
0.0601,231.19
0.0601,233.63
0.0602,230.05
0.0601,232.80
0.0601,229.93
0.0601,232.72
0.0602,232.25
0.0601,230.94
