iterationNum,error,c_params
28,0.0038319788252941006,-0.06226275115618577 0.9442332493660535 0.06374123913940526 1.010651999055615 0.5702398818765294 1.361422925326965 0.9772563565183944 1.0698728579229209 1.026211744541226 0.993574988700319 0.4704782261179258 0.5796005642490797 0.8566855618075789 1.1321484875804266 -0.11106666676093654 1.3824294888943012 1.1479791145257623 1.054113386127464
29,0.003808207359097663,-0.06235756106931814 0.9443600475453481 0.06370849356835173 1.0107792126113533 0.5709041423690615 1.3616069611803934 0.9776612995236329 1.0699031304889735 1.0262994217421717 0.9939832112852921 0.4703663148928945 0.5798198653326471 0.856159102163881 1.131625946397083 -0.1117760303886684 1.3817786279813116 1.148009628036289 1.0542010584154986
30,0.00378544829885834,-0.06244840239322559 0.944488324436162 0.06368217530075675 1.0109090525569582 0.5715453637024158 1.3617912632996818 0.9780612321972839 1.0699333434516818 1.0263869622829638 0.9943844057502155 0.47025897571913733 0.580039674000116 0.8556382990907447 1.1311184211977474 -0.11246434112984474 1.3811380225864605 1.1480400822321803 1.0542885903836012
31,0.003763620408336218,-0.06254528145689713 0.9446130338346552 0.0636597718516281 1.0110312633189644 0.5721672420171695 1.3619750973609228 0.9784525520445214 1.0699634967878335 1.0264743651893145 0.994778477650601 0.470157000139809 0.5802607562178861 0.8551260411540675 1.1306153884172063 -0.11313551108473122 1.3805107683973274 1.148070477074262 1.0543759810996276
32,0.0037427013411531172,-0.06264259020713189 0.9447302046176146 0.06364064206346165 1.0111566164810155 0.572771472987238 1.362157626576096 0.9788392098721281 1.0699935907781462 1.0265616307033727 0.9951657972011754 0.470060178697899 0.5804820958531043 0.8546212919273379 1.1301248486594981 -0.1137865418458337 1.3798942250511392 1.1481008128179888 1.0544632308690456
33,0.0037226245278455024,-0.06274015911482093 0.9448476645940699 0.0636240912528869 1.011274103047416 0.5733584936836048 1.3623382096542522 0.9792131748413384 1.070023625753031 1.026648758229975 0.9955446885457044 0.4699671203093053 0.5807022006466092 0.8541240997006662 1.1296416307130799 -0.11442397941960859 1.379286749127363 1.1481310897795711 1.0545503391615538
34,0.00370336937135225,-0.06283493052100278 0.9449669357119422 0.06360725005509066 1.0113913298043002 0.5739321965930759 1.3625172603949205 0.97958220917428 1.0700536018928235 1.0267357477651444 0.9959180838473712 0.46988155096681006 0.5809241737130291 0.8536359191893825 1.1291664256427107 -0.11503895965695325 1.3786912769412902 1.148161308126564 1.0546373060221186
35,0.003684877534201402,-0.06293136647231384 0.9450817653051347 0.0635961518960559 1.0115046164093602 0.5744881168475702 1.3626951955393982 0.979944432066923 1.0700835200065701 1.0268225992612356 0.9962824823246323 0.4697977885418044 0.5811445836323006 0.8531545352429221 1.1287006435283842 -0.1156416483383037 1.3781044383290388 1.1481914686490773 1.0547241314188827
36,0.0036671525749647307,-0.06302698055709298 0.9451963250628195 0.06358488533019832 1.011615225925058 0.5750309631275933 1.3628711617314588 0.9802973726011768 1.0701133800288978 1.0269093125163828 0.9966398929516364 0.46971972895038466 0.5813654165341318 0.8526820547903065 1.128244027805384 -0.1162249862451274 1.3775275328099827 1.1482215712705128 1.0548108152187428
37,0.0036501416692440954,-0.06312138643993326 0.9453088891825001 0.06357422438988035 1.0117250907035928 0.5755581806666115 1.3630461042016961 0.9806456969870755 1.0701431825918484 1.0269958874402385 0.996991199622326 0.46964752152759026 0.581587321462866 0.8522174246341232 1.1277999584879022 -0.11679554744144295 1.3769621990325143 1.1482516166067414 1.0548973573653786
38,0.0036337968605300894,-0.06321243469033129 0.9454192265884273 0.06356929146524899 1.0118332877082332 0.5760734470303824 1.3632183794026027 0.9809905474317794 1.0701729276187568 1.0270823231333899 0.9973350565197 0.46957903907685733 0.5818082507827447 0.8517625260876931 1.1273618614092955 -0.1173499688705311 1.3764058819840588 1.1482816045800148 1.05498375700624
39,0.0036180780595444755,-0.06331056689322224 0.9455222482614396 0.06356124868609749 1.0119380590612663 0.576574977452177 1.3633892371760477 0.9813251371114194 1.070202615722319 1.0271686201792112 0.9976712332244592 0.46951458192182227 0.5820273737025453 0.8513148048811225 1.1269302089321884 -0.11789549400166494 1.3758585018901752 1.1483115357933085 1.0550700147616774
40,0.003602986587430292,-0.06340051240631998 0.945631468622926 0.06355920512162719 1.012044232468284 0.5770660735495213 1.3635561568047243 0.9816587467789003 1.0702322469186771 1.0272547781380021 0.9980013195330185 0.4694546101349992 0.5822475228644948 0.8508772025846693 1.1265079892550618 -0.11842328136427976 1.375321641998899 1.1483414102496103 1.0551561302715498
41,0.0035885128020336768,-0.06349099859612735 0.9457342321969793 0.06355466654837393 1.0121475401008717 0.5775444227053249 1.3637230594884846 0.9819825713930072 1.0702618219478346 1.0273407972897457 0.998324322971624 0.46939864498454414 0.5824661158494769 0.8504450478338387 1.126097823944325 -0.11893769782226024 1.3747937786532922 1.1483712286820011 1.0552421038131092
42,0.0035746032308816016,-0.06357999533561329 0.9458327177726105 0.06355043759091147 1.0122492680346225 0.5780101905762588 1.3638871512616308 0.9823019717210512 1.0702913408627797 1.027426676879822 0.9986414358380169 0.46934676998530045 0.5826823087397954 0.8500209586384145 1.1256990517837817 -0.11944071192463743 1.3742720015573329 1.1484009911387787 1.0553279346925837
43,0.0035612235062027118,-0.06366500702646934 0.9459324419058096 0.06354751950194791 1.0123472444558788 0.5784672914438495 1.3640481382249883 0.9826202563697503 1.0703208038142358 1.0275124164500846 0.9989512316993401 0.4692988126986616 0.5828985352967799 0.8496057749090863 1.1253047089545625 -0.11993042279997125 1.37376176878236 1.1484306977712688 1.0554136225109592
44,0.003548400619282048,-0.06374930910731047 0.9460309084585292 0.06354605395346882 1.0124426516075993 0.578913383262073 1.3642075689558686 0.9829307264761953 1.070350211458262 1.027598016492682 0.9992549230828344 0.4692543698174441 0.5831125120189097 0.8491980271351579 1.1249211743774004 -0.12040224573066413 1.3732582604089187 1.148460349229459 1.0554991677741468
45,0.003536035712504076,-0.06382957029715107 0.9461246765928633 0.06354268638818039 1.0125340240704703 0.5793470977862524 1.3643659975872782 0.9832361465550165 1.0703795643494973 1.0276834770206587 0.9995510385309434 0.4692117353184244 0.5833266134931634 0.8487982365565657 1.1245423417838194 -0.120871410314693 1.37276300780947 1.1484899460516564 1.0555845705406093
46,0.0035241570219340782,-0.06391044697957854 0.9462210030678048 0.06354081432096706 1.0126253179106595 0.5797744384182096 1.3645212657742738 0.9835394995191756 1.0704088621544057 1.0277687975538687 0.9998415781516927 0.4691741402843361 0.5835395268005708 0.848407406427484 1.1241714675878207 -0.12132367884100581 1.3722778357580498 1.1485194879241114 1.0556698303689758
